tagName;ts;value_diff;tagValue
ECS_kWh_3_3;2021-03-23 17:36:27.000;13.28;15130.09
ECS_kWh_3_3;2021-03-24 17:36:27.000;12.63;15142.72
ECS_kWh_3_3;2021-03-25 17:36:27.000;16.8;15159.52
ECS_kWh_3_3;2021-03-26 17:36:27.000;15.47;15174.99
ECS_kWh_3_3;2021-03-27 17:36:27.000;20.37;15195.36
ECS_kWh_3_3;2021-03-28 17:36:27.000;19.13;15214.49
ECS_kWh_3_3;2021-03-29 17:36:27.000;27.73;15242.22
ECS_kWh_3_3;2021-03-30 17:36:27.000;16.45;15258.67
ECS_kWh_3_3;2021-03-31 17:36:27.000;25.82;15284.49
chauffage_kWh_3_3;2021-03-17 17:36:27.000;26.59;12026.59
chauffage_kWh_3_3;2021-03-18 17:36:27.000;18.71;12045.3
chauffage_kWh_3_3;2021-03-19 17:36:27.000;27.99;12073.29
chauffage_kWh_3_3;2021-03-20 17:36:27.000;13.19;12086.48
chauffage_kWh_3_3;2021-03-21 17:36:27.000;29.11;12115.59
chauffage_kWh_3_3;2021-03-22 17:36:27.000;19.66;12135.25
chauffage_kWh_3_3;2021-03-23 17:36:27.000;10.11;12145.36
chauffage_kWh_3_3;2021-03-24 17:36:27.000;29.16;12174.52
chauffage_kWh_3_3;2021-03-25 17:36:27.000;19.84;12194.36
chauffage_kWh_3_3;2021-03-26 17:36:27.000;24.63;12218.99
chauffage_kWh_3_3;2021-03-27 17:36:27.000;25.51;12244.5
chauffage_kWh_3_3;2021-03-28 17:36:27.000;19.98;12264.48
chauffage_kWh_3_3;2021-03-29 17:36:27.000;10.12;12274.6
chauffage_kWh_3_3;2021-03-30 17:36:27.000;13.93;12288.53
chauffage_kWh_3_3;2021-03-31 17:36:27.000;24.56;12313.09
eau_froide_m3_3_3;2021-03-17 17:36:27.000;12.3;18386.3
eau_froide_m3_3_3;2021-03-18 17:36:27.000;29.28;18415.58
eau_froide_m3_3_3;2021-03-19 17:36:27.000;17.03;18432.61
eau_froide_m3_3_3;2021-03-20 17:36:27.000;28.06;18460.67
eau_froide_m3_3_3;2021-03-21 17:36:27.000;18.03;18478.7
eau_froide_m3_3_3;2021-03-22 17:36:27.000;20.15;18498.85
eau_froide_m3_3_3;2021-03-23 17:36:27.000;22.62;18521.47
eau_froide_m3_3_3;2021-03-24 17:36:27.000;22.86;18544.33
eau_froide_m3_3_3;2021-03-25 17:36:27.000;29.63;18573.96
eau_froide_m3_3_3;2021-03-26 17:36:27.000;15.63;18589.59
eau_froide_m3_3_3;2021-03-27 17:36:27.000;11.43;18601.02
eau_froide_m3_3_3;2021-03-28 17:36:27.000;13.55;18614.57
eau_froide_m3_3_3;2021-03-29 17:36:27.000;20.91;18635.48
eau_froide_m3_3_3;2021-03-30 17:36:27.000;28.59;18664.07
eau_froide_m3_3_3;2021-03-31 17:36:27.000;23.4;18687.47
ECS_kWh_3_4;2021-03-17 17:36:27.000;26.17;15026.17
ECS_kWh_3_4;2021-03-18 17:36:27.000;22.49;15048.66
ECS_kWh_3_4;2021-03-19 17:36:27.000;11.88;15060.54
ECS_kWh_3_4;2021-03-20 17:36:27.000;26.27;15086.81
ECS_kWh_3_4;2021-03-21 17:36:27.000;13.72;15100.53
ECS_kWh_3_4;2021-03-22 17:36:27.000;11.46;15111.99
ECS_kWh_3_4;2021-03-23 17:36:27.000;29.98;15141.97
ECS_kWh_3_4;2021-03-24 17:36:27.000;13.55;15155.52
ECS_kWh_3_4;2021-03-25 17:36:27.000;29.44;15184.96
ECS_kWh_3_4;2021-03-26 17:36:27.000;14.75;15199.71
ECS_kWh_3_4;2021-03-27 17:36:27.000;25.09;15224.8
ECS_kWh_3_4;2021-03-28 17:36:27.000;28.43;15253.23
ECS_kWh_3_4;2021-03-29 17:36:27.000;23.29;15276.52
ECS_kWh_3_4;2021-03-30 17:36:27.000;18.63;15295.15
ECS_kWh_3_4;2021-03-31 17:36:27.000;20.47;15315.62
chauffage_kWh_3_4;2021-03-17 17:36:27.000;19.15;12019.15
chauffage_kWh_3_4;2021-03-18 17:36:27.000;19.4;12038.55
chauffage_kWh_3_4;2021-03-19 17:36:27.000;17.61;12056.16
chauffage_kWh_3_4;2021-03-20 17:36:27.000;15.5;12071.66
chauffage_kWh_3_4;2021-03-21 17:36:27.000;23.25;12094.91
chauffage_kWh_3_4;2021-03-22 17:36:27.000;10.57;12105.48
chauffage_kWh_3_4;2021-03-23 17:36:27.000;12.67;12118.15
chauffage_kWh_3_4;2021-03-24 17:36:27.000;25.69;12143.84
chauffage_kWh_3_4;2021-03-25 17:36:27.000;24.32;12168.16
chauffage_kWh_3_4;2021-03-26 17:36:27.000;14.52;12182.68
chauffage_kWh_3_4;2021-03-27 17:36:27.000;29.76;12212.44
chauffage_kWh_3_4;2021-03-28 17:36:27.000;22.79;12235.23
chauffage_kWh_3_4;2021-03-29 17:36:27.000;14.87;12250.1
chauffage_kWh_3_4;2021-03-30 17:36:27.000;10.68;12260.78
chauffage_kWh_3_4;2021-03-31 17:36:27.000;13.17;12273.95
eau_froide_m3_3_4;2021-03-17 17:36:27.000;10.99;18384.99
eau_froide_m3_3_4;2021-03-18 17:36:27.000;14.76;18399.75
eau_froide_m3_3_4;2021-03-19 17:36:27.000;27.94;18427.69
eau_froide_m3_3_4;2021-03-20 17:36:27.000;26.49;18454.18
eau_froide_m3_3_4;2021-03-21 17:36:27.000;10.14;18464.32
eau_froide_m3_3_4;2021-03-22 17:36:27.000;19.32;18483.64
eau_froide_m3_3_4;2021-03-23 17:36:27.000;13.89;18497.53
eau_froide_m3_3_4;2021-03-24 17:36:27.000;28.12;18525.65
eau_froide_m3_3_4;2021-03-25 17:36:27.000;19;18544.65
eau_froide_m3_3_4;2021-03-26 17:36:27.000;15.22;18559.87
eau_froide_m3_3_4;2021-03-27 17:36:27.000;27.26;18587.13
eau_froide_m3_3_4;2021-03-28 17:36:27.000;20.82;18607.95
eau_froide_m3_3_4;2021-03-29 17:36:27.000;10.46;18618.41
eau_froide_m3_3_4;2021-03-30 17:36:27.000;13.29;18631.7
eau_froide_m3_3_4;2021-03-31 17:36:27.000;21.14;18652.84
ECS_kWh_3_5;2021-03-17 17:36:27.000;12.29;15012.29
ECS_kWh_3_5;2021-03-18 17:36:27.000;14.13;15026.42
ECS_kWh_3_5;2021-03-19 17:36:27.000;22.24;15048.66
ECS_kWh_3_5;2021-03-20 17:36:27.000;15.01;15063.67
ECS_kWh_3_5;2021-03-21 17:36:27.000;26.24;15089.91
ECS_kWh_3_5;2021-03-22 17:36:27.000;25.56;15115.47
ECS_kWh_3_5;2021-03-23 17:36:27.000;12.29;15127.76
ECS_kWh_3_5;2021-03-24 17:36:27.000;25.67;15153.43
ECS_kWh_3_5;2021-03-25 17:36:27.000;24.21;15177.64
ECS_kWh_3_5;2021-03-26 17:36:27.000;23.8;15201.44
ECS_kWh_3_5;2021-03-27 17:36:27.000;18.5;15219.94
ECS_kWh_3_5;2021-03-28 17:36:27.000;22.37;15242.31
ECS_kWh_3_5;2021-03-29 17:36:27.000;24.55;15266.86
ECS_kWh_3_5;2021-03-30 17:36:27.000;20.29;15287.15
ECS_kWh_3_5;2021-03-31 17:36:27.000;18.32;15305.47
chauffage_kWh_3_5;2021-03-17 17:36:27.000;27.34;12027.34
chauffage_kWh_3_5;2021-03-18 17:36:27.000;25.83;12053.17
chauffage_kWh_3_5;2021-03-19 17:36:27.000;28.06;12081.23
chauffage_kWh_3_5;2021-03-20 17:36:27.000;13.26;12094.49
chauffage_kWh_3_5;2021-03-21 17:36:27.000;19.63;12114.12
chauffage_kWh_3_5;2021-03-22 17:36:27.000;29.13;12143.25
chauffage_kWh_3_5;2021-03-23 17:36:27.000;17.06;12160.31
chauffage_kWh_3_5;2021-03-24 17:36:27.000;21.36;12181.67
chauffage_kWh_3_5;2021-03-25 17:36:27.000;25.25;12206.92
chauffage_kWh_3_5;2021-03-26 17:36:27.000;17.61;12224.53
chauffage_kWh_3_5;2021-03-27 17:36:27.000;17.91;12242.44
chauffage_kWh_3_5;2021-03-28 17:36:27.000;11.28;12253.72
chauffage_kWh_3_5;2021-03-29 17:36:27.000;27.59;12281.31
chauffage_kWh_3_5;2021-03-30 17:36:27.000;12.83;12294.14
chauffage_kWh_3_5;2021-03-31 17:36:27.000;10.89;12305.03
eau_froide_m3_3_5;2021-03-17 17:36:27.000;10.28;18384.28
eau_froide_m3_3_5;2021-03-18 17:36:27.000;10.65;18394.93
eau_froide_m3_3_5;2021-03-19 17:36:27.000;24.88;18419.81
eau_froide_m3_3_5;2021-03-20 17:36:27.000;21.22;18441.03
eau_froide_m3_3_5;2021-03-21 17:36:27.000;15.15;18456.18
eau_froide_m3_3_5;2021-03-22 17:36:27.000;23.6;18479.78
eau_froide_m3_3_5;2021-03-23 17:36:27.000;27.17;18506.95
eau_froide_m3_3_5;2021-03-24 17:36:27.000;29.69;18536.64
eau_froide_m3_3_5;2021-03-25 17:36:27.000;29.19;18565.83
eau_froide_m3_3_5;2021-03-26 17:36:27.000;11.78;18577.61
eau_froide_m3_3_5;2021-03-27 17:36:27.000;12.04;18589.65
eau_froide_m3_3_5;2021-03-28 17:36:27.000;24.64;18614.29
eau_froide_m3_3_5;2021-03-29 17:36:27.000;12.22;18626.51
eau_froide_m3_3_5;2021-03-30 17:36:27.000;13.3;18639.81
eau_froide_m3_3_5;2021-03-31 17:36:27.000;27.64;18667.45
ECS_kWh_3_6;2021-03-17 17:36:27.000;28.39;15028.39
ECS_kWh_3_6;2021-03-18 17:36:27.000;14.91;15043.3
ECS_kWh_3_6;2021-03-19 17:36:27.000;22.12;15065.42
ECS_kWh_3_6;2021-03-20 17:36:27.000;19.89;15085.31
ECS_kWh_3_6;2021-03-21 17:36:27.000;20.86;15106.17
ECS_kWh_3_6;2021-03-22 17:36:27.000;14.62;15120.79
ECS_kWh_3_6;2021-03-23 17:36:27.000;15.04;15135.83
ECS_kWh_3_6;2021-03-24 17:36:27.000;27.37;15163.2
ECS_kWh_3_6;2021-03-25 17:36:27.000;19.86;15183.06
ECS_kWh_3_6;2021-03-26 17:36:27.000;15.43;15198.49
ECS_kWh_3_6;2021-03-27 17:36:27.000;24.72;15223.21
ECS_kWh_3_6;2021-03-28 17:36:27.000;15.68;15238.89
ECS_kWh_3_6;2021-03-29 17:36:27.000;21.84;15260.73
ECS_kWh_3_6;2021-03-30 17:36:27.000;24.54;15285.27
ECS_kWh_3_6;2021-03-31 17:36:27.000;22.15;15307.42
chauffage_kWh_3_6;2021-03-17 17:36:27.000;20.5;12020.5
chauffage_kWh_3_6;2021-03-18 17:36:27.000;19.89;12040.39
chauffage_kWh_3_6;2021-03-19 17:36:27.000;28.42;12068.81
chauffage_kWh_3_6;2021-03-20 17:36:27.000;14.18;12082.99
chauffage_kWh_3_6;2021-03-21 17:36:27.000;24.18;12107.17
chauffage_kWh_3_6;2021-03-22 17:36:27.000;14.05;12121.22
chauffage_kWh_3_6;2021-03-23 17:36:27.000;17.53;12138.75
chauffage_kWh_3_6;2021-03-24 17:36:27.000;21.52;12160.27
chauffage_kWh_3_6;2021-03-25 17:36:27.000;27.28;12187.55
chauffage_kWh_3_6;2021-03-26 17:36:27.000;27.83;12215.38
chauffage_kWh_3_6;2021-03-27 17:36:27.000;23.96;12239.34
chauffage_kWh_3_6;2021-03-28 17:36:27.000;22.28;12261.62
chauffage_kWh_3_6;2021-03-29 17:36:27.000;26.27;12287.89
chauffage_kWh_3_6;2021-03-30 17:36:27.000;28.21;12316.1
chauffage_kWh_3_6;2021-03-31 17:36:27.000;28.37;12344.47
eau_froide_m3_3_6;2021-03-17 17:36:27.000;26.11;18400.11
eau_froide_m3_3_6;2021-03-18 17:36:27.000;18.23;18418.34
eau_froide_m3_3_6;2021-03-19 17:36:27.000;20.74;18439.08
eau_froide_m3_3_6;2021-03-20 17:36:27.000;16.75;18455.83
eau_froide_m3_3_6;2021-03-21 17:36:27.000;27.93;18483.76
eau_froide_m3_3_6;2021-03-22 17:36:27.000;15.08;18498.84
eau_froide_m3_3_6;2021-03-23 17:36:27.000;18.31;18517.15
eau_froide_m3_3_6;2021-03-24 17:36:27.000;10.05;18527.2
eau_froide_m3_3_6;2021-03-25 17:36:27.000;27.9;18555.1
eau_froide_m3_3_6;2021-03-26 17:36:27.000;14.56;18569.66
eau_froide_m3_3_6;2021-03-27 17:36:27.000;17.94;18587.6
eau_froide_m3_3_6;2021-03-28 17:36:27.000;27.36;18614.96
eau_froide_m3_3_6;2021-03-29 17:36:27.000;12.04;18627
eau_froide_m3_3_6;2021-03-30 17:36:27.000;11.8;18638.8
eau_froide_m3_3_6;2021-03-31 17:36:27.000;13.48;18652.28
ECS_kWh_3_7;2021-03-17 17:36:27.000;27.47;15027.47
ECS_kWh_3_7;2021-03-18 17:36:27.000;15.79;15043.26
ECS_kWh_3_7;2021-03-19 17:36:27.000;28.29;15071.55
ECS_kWh_3_7;2021-03-20 17:36:27.000;15.38;15086.93
ECS_kWh_3_7;2021-03-21 17:36:27.000;12.24;15099.17
ECS_kWh_3_7;2021-03-22 17:36:27.000;11.35;15110.52
ECS_kWh_3_7;2021-03-23 17:36:27.000;25.19;15135.71
ECS_kWh_3_7;2021-03-24 17:36:27.000;14.8;15150.51
ECS_kWh_3_7;2021-03-25 17:36:27.000;27.79;15178.3
ECS_kWh_3_7;2021-03-26 17:36:27.000;18.22;15196.52
ECS_kWh_3_7;2021-03-27 17:36:27.000;23.9;15220.42
ECS_kWh_3_7;2021-03-28 17:36:27.000;15.42;15235.84
ECS_kWh_3_7;2021-03-29 17:36:27.000;18.67;15254.51
ECS_kWh_3_7;2021-03-30 17:36:27.000;26.48;15280.99
ECS_kWh_3_7;2021-03-31 17:36:27.000;17.63;15298.62
chauffage_kWh_3_7;2021-03-17 17:36:27.000;17.95;12017.95
chauffage_kWh_3_7;2021-03-18 17:36:27.000;22.35;12040.3
chauffage_kWh_3_7;2021-03-19 17:36:27.000;10.12;12050.42
chauffage_kWh_3_7;2021-03-20 17:36:27.000;12.41;12062.83
chauffage_kWh_3_7;2021-03-21 17:36:27.000;27.68;12090.51
chauffage_kWh_3_7;2021-03-22 17:36:27.000;20.85;12111.36
chauffage_kWh_3_7;2021-03-23 17:36:27.000;27.96;12139.32
chauffage_kWh_3_7;2021-03-24 17:36:27.000;19.56;12158.88
chauffage_kWh_3_7;2021-03-25 17:36:27.000;19.71;12178.59
chauffage_kWh_3_7;2021-03-26 17:36:27.000;25.11;12203.7
chauffage_kWh_3_7;2021-03-27 17:36:27.000;14.34;12218.04
chauffage_kWh_3_7;2021-03-28 17:36:27.000;26.36;12244.4
chauffage_kWh_3_7;2021-03-29 17:36:27.000;10.22;12254.62
chauffage_kWh_3_7;2021-03-30 17:36:27.000;20.93;12275.55
chauffage_kWh_3_7;2021-03-31 17:36:27.000;14.49;12290.04
eau_froide_m3_3_7;2021-03-17 17:36:27.000;26.37;18400.37
eau_froide_m3_3_7;2021-03-18 17:36:27.000;15.65;18416.02
eau_froide_m3_3_7;2021-03-19 17:36:27.000;15.41;18431.43
eau_froide_m3_3_7;2021-03-20 17:36:27.000;22.21;18453.64
eau_froide_m3_3_7;2021-03-21 17:36:27.000;15.72;18469.36
eau_froide_m3_3_7;2021-03-22 17:36:27.000;15.34;18484.7
eau_froide_m3_3_7;2021-03-23 17:36:27.000;27.02;18511.72
eau_froide_m3_3_7;2021-03-24 17:36:27.000;29.81;18541.53
eau_froide_m3_3_7;2021-03-25 17:36:27.000;14.6;18556.13
eau_froide_m3_3_7;2021-03-26 17:36:27.000;18.39;18574.52
eau_froide_m3_3_7;2021-03-27 17:36:27.000;21.41;18595.93
eau_froide_m3_3_7;2021-03-28 17:36:27.000;26.2;18622.13
eau_froide_m3_3_7;2021-03-29 17:36:27.000;28.93;18651.06
eau_froide_m3_3_7;2021-03-30 17:36:27.000;14.94;18666
eau_froide_m3_3_7;2021-03-31 17:36:27.000;19.76;18685.76
ECS_kWh_3_9;2021-03-17 17:36:27.000;15.33;15015.33
ECS_kWh_3_9;2021-03-18 17:36:27.000;18.93;15034.26
ECS_kWh_3_9;2021-03-19 17:36:27.000;19.51;15053.77
ECS_kWh_3_9;2021-03-20 17:36:27.000;16.08;15069.85
ECS_kWh_3_9;2021-03-21 17:36:27.000;20.58;15090.43
ECS_kWh_3_9;2021-03-22 17:36:27.000;26.89;15117.32
ECS_kWh_3_9;2021-03-23 17:36:27.000;16.03;15133.35
ECS_kWh_3_9;2021-03-24 17:36:27.000;20.11;15153.46
ECS_kWh_3_9;2021-03-25 17:36:27.000;11.49;15164.95
ECS_kWh_3_9;2021-03-26 17:36:27.000;24.85;15189.8
ECS_kWh_3_9;2021-03-27 17:36:27.000;25.07;15214.87
ECS_kWh_3_9;2021-03-28 17:36:27.000;21.27;15236.14
ECS_kWh_3_9;2021-03-29 17:36:27.000;15.54;15251.68
ECS_kWh_3_9;2021-03-30 17:36:27.000;17.65;15269.33
ECS_kWh_3_9;2021-03-31 17:36:27.000;26.09;15295.42
chauffage_kWh_3_9;2021-03-17 17:36:27.000;27.61;12027.61
chauffage_kWh_3_9;2021-03-18 17:36:27.000;24.69;12052.3
chauffage_kWh_3_9;2021-03-19 17:36:27.000;21.85;12074.15
chauffage_kWh_3_9;2021-03-20 17:36:27.000;18.36;12092.51
chauffage_kWh_3_9;2021-03-21 17:36:27.000;15.42;12107.93
chauffage_kWh_3_9;2021-03-22 17:36:27.000;28.08;12136.01
chauffage_kWh_3_9;2021-03-23 17:36:27.000;29.64;12165.65
chauffage_kWh_3_9;2021-03-24 17:36:27.000;11.22;12176.87
chauffage_kWh_3_9;2021-03-25 17:36:27.000;10.3;12187.17
chauffage_kWh_3_9;2021-03-26 17:36:27.000;21.73;12208.9
chauffage_kWh_3_9;2021-03-27 17:36:27.000;28.03;12236.93
chauffage_kWh_3_9;2021-03-28 17:36:27.000;10.16;12247.09
chauffage_kWh_3_9;2021-03-29 17:36:27.000;21.35;12268.44
chauffage_kWh_3_9;2021-03-30 17:36:27.000;11.43;12279.87
chauffage_kWh_3_9;2021-03-31 17:36:27.000;20.26;12300.13
eau_froide_m3_3_9;2021-03-17 17:36:27.000;17.13;18391.13
eau_froide_m3_3_9;2021-03-18 17:36:27.000;18.69;18409.82
eau_froide_m3_3_9;2021-03-19 17:36:27.000;18.59;18428.41
eau_froide_m3_3_9;2021-03-20 17:36:27.000;16.02;18444.43
eau_froide_m3_3_9;2021-03-21 17:36:27.000;20.88;18465.31
eau_froide_m3_3_9;2021-03-22 17:36:27.000;15.46;18480.77
eau_froide_m3_3_9;2021-03-23 17:36:27.000;28.48;18509.25
eau_froide_m3_3_9;2021-03-24 17:36:27.000;27.37;18536.62
eau_froide_m3_3_9;2021-03-25 17:36:27.000;17.95;18554.57
eau_froide_m3_3_9;2021-03-26 17:36:27.000;11.26;18565.83
eau_froide_m3_3_9;2021-03-27 17:36:27.000;28.55;18594.38
eau_froide_m3_3_9;2021-03-28 17:36:27.000;15.52;18609.9
eau_froide_m3_3_9;2021-03-29 17:36:27.000;24.29;18634.19
eau_froide_m3_3_9;2021-03-30 17:36:27.000;23.24;18657.43
eau_froide_m3_3_9;2021-03-31 17:36:27.000;23.16;18680.59
ECS_kWh_3_10;2021-03-17 17:36:27.000;18.55;15018.55
ECS_kWh_3_10;2021-03-18 17:36:27.000;16.53;15035.08
ECS_kWh_3_10;2021-03-19 17:36:27.000;28.73;15063.81
ECS_kWh_3_10;2021-03-20 17:36:27.000;21.02;15084.83
ECS_kWh_3_10;2021-03-21 17:36:27.000;21.23;15106.06
ECS_kWh_3_10;2021-03-22 17:36:27.000;19.59;15125.65
ECS_kWh_3_10;2021-03-23 17:36:27.000;23.79;15149.44
ECS_kWh_3_10;2021-03-24 17:36:27.000;12.15;15161.59
ECS_kWh_3_10;2021-03-25 17:36:27.000;14.55;15176.14
ECS_kWh_3_10;2021-03-26 17:36:27.000;20.24;15196.38
ECS_kWh_3_10;2021-03-27 17:36:27.000;13.68;15210.06
ECS_kWh_3_10;2021-03-28 17:36:27.000;18.15;15228.21
ECS_kWh_3_10;2021-03-29 17:36:27.000;12.14;15240.35
ECS_kWh_3_10;2021-03-30 17:36:27.000;19.23;15259.58
ECS_kWh_3_10;2021-03-31 17:36:27.000;14.81;15274.39
chauffage_kWh_3_10;2021-03-17 17:36:27.000;29.27;12029.27
chauffage_kWh_3_10;2021-03-18 17:36:27.000;15.07;12044.34
chauffage_kWh_3_10;2021-03-19 17:36:27.000;19.01;12063.35
chauffage_kWh_3_10;2021-03-20 17:36:27.000;20.34;12083.69
chauffage_kWh_3_10;2021-03-21 17:36:27.000;29.05;12112.74
chauffage_kWh_3_10;2021-03-22 17:36:27.000;17.51;12130.25
