tagName;ts;tagValue
eau_froide_m3_3_1;2021-03-19 17:36:27.000;29.39
eau_froide_m3_3_1;2021-03-18 17:36:27.000;12.74
eau_froide_m3_3_1;2021-03-17 17:36:27.000;18.67
ECS_kWh_3_2;2021-03-31 17:36:27.000;22.6
ECS_kWh_3_2;2021-03-30 17:36:27.000;19.15
ECS_kWh_3_2;2021-03-29 17:36:27.000;21.42
ECS_kWh_3_2;2021-03-28 17:36:27.000;15.68
ECS_kWh_3_2;2021-03-27 17:36:27.000;15.7
ECS_kWh_3_2;2021-03-26 17:36:27.000;19.84
ECS_kWh_3_2;2021-03-25 17:36:27.000;24.8
ECS_kWh_3_2;2021-03-24 17:36:27.000;28.67
ECS_kWh_3_2;2021-03-23 17:36:27.000;22.79
ECS_kWh_3_2;2021-03-22 17:36:27.000;17.87
ECS_kWh_3_2;2021-03-21 17:36:27.000;13.36
ECS_kWh_3_2;2021-03-20 17:36:27.000;10.06
ECS_kWh_3_2;2021-03-19 17:36:27.000;27.37
ECS_kWh_3_2;2021-03-18 17:36:27.000;23.84
ECS_kWh_3_2;2021-03-17 17:36:27.000;13.34
chauffage_kWh_3_2;2021-03-31 17:36:27.000;26.03
chauffage_kWh_3_2;2021-03-30 17:36:27.000;22.87
chauffage_kWh_3_2;2021-03-29 17:36:27.000;17.39
chauffage_kWh_3_2;2021-03-28 17:36:27.000;25.24
chauffage_kWh_3_2;2021-03-27 17:36:27.000;21.39
chauffage_kWh_3_2;2021-03-26 17:36:27.000;19.58
chauffage_kWh_3_2;2021-03-25 17:36:27.000;13.37
chauffage_kWh_3_2;2021-03-24 17:36:27.000;12.52
chauffage_kWh_3_2;2021-03-23 17:36:27.000;21.54
chauffage_kWh_3_2;2021-03-22 17:36:27.000;16.59
chauffage_kWh_3_2;2021-03-21 17:36:27.000;22.07
chauffage_kWh_3_2;2021-03-20 17:36:27.000;15.88
chauffage_kWh_3_2;2021-03-19 17:36:27.000;23.51
chauffage_kWh_3_2;2021-03-18 17:36:27.000;19.35
chauffage_kWh_3_2;2021-03-17 17:36:27.000;18.75
eau_froide_m3_3_2;2021-03-31 17:36:27.000;23.3
eau_froide_m3_3_2;2021-03-30 17:36:27.000;19.32
eau_froide_m3_3_2;2021-03-29 17:36:27.000;17.9
eau_froide_m3_3_2;2021-03-28 17:36:27.000;25.7
eau_froide_m3_3_2;2021-03-27 17:36:27.000;25.24
eau_froide_m3_3_2;2021-03-26 17:36:27.000;29.11
eau_froide_m3_3_2;2021-03-25 17:36:27.000;20.53
eau_froide_m3_3_2;2021-03-24 17:36:27.000;10.12
eau_froide_m3_3_2;2021-03-23 17:36:27.000;16.94
eau_froide_m3_3_2;2021-03-22 17:36:27.000;28.16
eau_froide_m3_3_2;2021-03-21 17:36:27.000;15.58
eau_froide_m3_3_2;2021-03-20 17:36:27.000;29.9
eau_froide_m3_3_2;2021-03-19 17:36:27.000;12.31
eau_froide_m3_3_2;2021-03-18 17:36:27.000;23.79
eau_froide_m3_3_2;2021-03-17 17:36:27.000;12.76
ECS_kWh_3_3;2021-03-31 17:36:27.000;11.61
ECS_kWh_3_3;2021-03-30 17:36:27.000;19.62
ECS_kWh_3_3;2021-03-29 17:36:27.000;19.48
ECS_kWh_3_3;2021-03-28 17:36:27.000;22.32
ECS_kWh_3_3;2021-03-27 17:36:27.000;18.35
ECS_kWh_3_3;2021-03-26 17:36:27.000;25.43
ECS_kWh_3_3;2021-03-25 17:36:27.000;13.28
ECS_kWh_3_3;2021-03-24 17:36:27.000;12.63
ECS_kWh_3_3;2021-03-23 17:36:27.000;16.8
ECS_kWh_3_3;2021-03-22 17:36:27.000;15.47
ECS_kWh_3_3;2021-03-21 17:36:27.000;20.37
ECS_kWh_3_3;2021-03-20 17:36:27.000;19.13
ECS_kWh_3_3;2021-03-19 17:36:27.000;27.73
ECS_kWh_3_3;2021-03-18 17:36:27.000;16.45
ECS_kWh_3_3;2021-03-17 17:36:27.000;25.82
chauffage_kWh_3_3;2021-03-31 17:36:27.000;26.59
chauffage_kWh_3_3;2021-03-30 17:36:27.000;18.71
chauffage_kWh_3_3;2021-03-29 17:36:27.000;27.99
chauffage_kWh_3_3;2021-03-28 17:36:27.000;13.19
chauffage_kWh_3_3;2021-03-27 17:36:27.000;29.11
chauffage_kWh_3_3;2021-03-26 17:36:27.000;19.66
chauffage_kWh_3_3;2021-03-25 17:36:27.000;10.11
chauffage_kWh_3_3;2021-03-24 17:36:27.000;29.16
chauffage_kWh_3_3;2021-03-23 17:36:27.000;19.84
chauffage_kWh_3_3;2021-03-22 17:36:27.000;24.63
chauffage_kWh_3_3;2021-03-21 17:36:27.000;25.51
chauffage_kWh_3_3;2021-03-20 17:36:27.000;19.98
chauffage_kWh_3_3;2021-03-19 17:36:27.000;10.12
chauffage_kWh_3_3;2021-03-18 17:36:27.000;13.93
chauffage_kWh_3_3;2021-03-17 17:36:27.000;24.56
eau_froide_m3_3_3;2021-03-31 17:36:27.000;12.3
eau_froide_m3_3_3;2021-03-30 17:36:27.000;29.28
eau_froide_m3_3_3;2021-03-29 17:36:27.000;17.03
eau_froide_m3_3_3;2021-03-28 17:36:27.000;28.06
eau_froide_m3_3_3;2021-03-27 17:36:27.000;18.03
eau_froide_m3_3_3;2021-03-26 17:36:27.000;20.15
eau_froide_m3_3_3;2021-03-25 17:36:27.000;22.62
eau_froide_m3_3_3;2021-03-24 17:36:27.000;22.86
eau_froide_m3_3_3;2021-03-23 17:36:27.000;29.63
eau_froide_m3_3_3;2021-03-22 17:36:27.000;15.63
eau_froide_m3_3_3;2021-03-21 17:36:27.000;11.43
eau_froide_m3_3_3;2021-03-20 17:36:27.000;13.55
eau_froide_m3_3_3;2021-03-19 17:36:27.000;20.91
eau_froide_m3_3_3;2021-03-18 17:36:27.000;28.59
eau_froide_m3_3_3;2021-03-17 17:36:27.000;23.4
ECS_kWh_3_4;2021-03-31 17:36:27.000;26.17
ECS_kWh_3_4;2021-03-30 17:36:27.000;22.49
ECS_kWh_3_4;2021-03-29 17:36:27.000;11.88
ECS_kWh_3_4;2021-03-28 17:36:27.000;26.27
ECS_kWh_3_4;2021-03-27 17:36:27.000;13.72
ECS_kWh_3_4;2021-03-26 17:36:27.000;11.46
ECS_kWh_3_4;2021-03-25 17:36:27.000;29.98
ECS_kWh_3_4;2021-03-24 17:36:27.000;13.55
ECS_kWh_3_4;2021-03-23 17:36:27.000;29.44
ECS_kWh_3_4;2021-03-22 17:36:27.000;14.75
ECS_kWh_3_4;2021-03-21 17:36:27.000;25.09
ECS_kWh_3_4;2021-03-20 17:36:27.000;28.43
ECS_kWh_3_4;2021-03-19 17:36:27.000;23.29
ECS_kWh_3_4;2021-03-18 17:36:27.000;18.63
ECS_kWh_3_4;2021-03-17 17:36:27.000;20.47
chauffage_kWh_3_4;2021-03-31 17:36:27.000;19.15
chauffage_kWh_3_4;2021-03-30 17:36:27.000;19.4
chauffage_kWh_3_4;2021-03-29 17:36:27.000;17.61
chauffage_kWh_3_4;2021-03-28 17:36:27.000;15.5
chauffage_kWh_3_4;2021-03-27 17:36:27.000;23.25
chauffage_kWh_3_4;2021-03-26 17:36:27.000;10.57
chauffage_kWh_3_4;2021-03-25 17:36:27.000;12.67
chauffage_kWh_3_4;2021-03-24 17:36:27.000;25.69
chauffage_kWh_3_4;2021-03-23 17:36:27.000;24.32
chauffage_kWh_3_4;2021-03-22 17:36:27.000;14.52
chauffage_kWh_3_4;2021-03-21 17:36:27.000;29.76
chauffage_kWh_3_4;2021-03-20 17:36:27.000;22.79
chauffage_kWh_3_4;2021-03-19 17:36:27.000;14.87
chauffage_kWh_3_4;2021-03-18 17:36:27.000;10.68
chauffage_kWh_3_4;2021-03-17 17:36:27.000;13.17
eau_froide_m3_3_4;2021-03-31 17:36:27.000;10.99
eau_froide_m3_3_4;2021-03-30 17:36:27.000;14.76
eau_froide_m3_3_4;2021-03-29 17:36:27.000;27.94
eau_froide_m3_3_4;2021-03-28 17:36:27.000;26.49
eau_froide_m3_3_4;2021-03-27 17:36:27.000;10.14
eau_froide_m3_3_4;2021-03-26 17:36:27.000;19.32
eau_froide_m3_3_4;2021-03-25 17:36:27.000;13.89
eau_froide_m3_3_4;2021-03-24 17:36:27.000;28.12
eau_froide_m3_3_4;2021-03-23 17:36:27.000;19.0
eau_froide_m3_3_4;2021-03-22 17:36:27.000;15.22
eau_froide_m3_3_4;2021-03-21 17:36:27.000;27.26
eau_froide_m3_3_4;2021-03-20 17:36:27.000;20.82
eau_froide_m3_3_4;2021-03-19 17:36:27.000;10.46
eau_froide_m3_3_4;2021-03-18 17:36:27.000;13.29
eau_froide_m3_3_4;2021-03-17 17:36:27.000;21.14
ECS_kWh_3_5;2021-03-31 17:36:27.000;12.29
ECS_kWh_3_5;2021-03-30 17:36:27.000;14.13
ECS_kWh_3_5;2021-03-29 17:36:27.000;22.24
ECS_kWh_3_5;2021-03-28 17:36:27.000;15.01
ECS_kWh_3_5;2021-03-27 17:36:27.000;26.24
ECS_kWh_3_5;2021-03-26 17:36:27.000;25.56
ECS_kWh_3_5;2021-03-25 17:36:27.000;12.29
ECS_kWh_3_5;2021-03-24 17:36:27.000;25.67
ECS_kWh_3_5;2021-03-23 17:36:27.000;24.21
ECS_kWh_3_5;2021-03-22 17:36:27.000;23.8
ECS_kWh_3_5;2021-03-21 17:36:27.000;18.5
ECS_kWh_3_5;2021-03-20 17:36:27.000;22.37
ECS_kWh_3_5;2021-03-19 17:36:27.000;24.55
ECS_kWh_3_5;2021-03-18 17:36:27.000;20.29
ECS_kWh_3_5;2021-03-17 17:36:27.000;18.32
chauffage_kWh_3_5;2021-03-31 17:36:27.000;27.34
chauffage_kWh_3_5;2021-03-30 17:36:27.000;25.83
chauffage_kWh_3_5;2021-03-29 17:36:27.000;28.06
chauffage_kWh_3_5;2021-03-28 17:36:27.000;13.26
chauffage_kWh_3_5;2021-03-27 17:36:27.000;19.63
chauffage_kWh_3_5;2021-03-26 17:36:27.000;29.13
chauffage_kWh_3_5;2021-03-25 17:36:27.000;17.06
chauffage_kWh_3_5;2021-03-24 17:36:27.000;21.36
chauffage_kWh_3_5;2021-03-23 17:36:27.000;25.25
chauffage_kWh_3_5;2021-03-22 17:36:27.000;17.61
chauffage_kWh_3_5;2021-03-21 17:36:27.000;17.91
chauffage_kWh_3_5;2021-03-20 17:36:27.000;11.28
chauffage_kWh_3_5;2021-03-19 17:36:27.000;27.59
chauffage_kWh_3_5;2021-03-18 17:36:27.000;12.83
chauffage_kWh_3_5;2021-03-17 17:36:27.000;10.89
eau_froide_m3_3_5;2021-03-31 17:36:27.000;10.28
eau_froide_m3_3_5;2021-03-30 17:36:27.000;10.65
eau_froide_m3_3_5;2021-03-29 17:36:27.000;24.88
eau_froide_m3_3_5;2021-03-28 17:36:27.000;21.22
eau_froide_m3_3_5;2021-03-27 17:36:27.000;15.15
eau_froide_m3_3_5;2021-03-26 17:36:27.000;23.6
eau_froide_m3_3_5;2021-03-25 17:36:27.000;27.17
eau_froide_m3_3_5;2021-03-24 17:36:27.000;29.69
eau_froide_m3_3_5;2021-03-23 17:36:27.000;29.19
eau_froide_m3_3_5;2021-03-22 17:36:27.000;11.78
eau_froide_m3_3_5;2021-03-21 17:36:27.000;12.04
eau_froide_m3_3_5;2021-03-20 17:36:27.000;24.64
eau_froide_m3_3_5;2021-03-19 17:36:27.000;12.22
eau_froide_m3_3_5;2021-03-18 17:36:27.000;13.3
eau_froide_m3_3_5;2021-03-17 17:36:27.000;27.64
ECS_kWh_3_6;2021-03-31 17:36:27.000;28.39
ECS_kWh_3_6;2021-03-30 17:36:27.000;14.91
ECS_kWh_3_6;2021-03-29 17:36:27.000;22.12
ECS_kWh_3_6;2021-03-28 17:36:27.000;19.89
ECS_kWh_3_6;2021-03-27 17:36:27.000;20.86
ECS_kWh_3_6;2021-03-26 17:36:27.000;14.62
ECS_kWh_3_6;2021-03-25 17:36:27.000;15.04
ECS_kWh_3_6;2021-03-24 17:36:27.000;27.37
ECS_kWh_3_6;2021-03-23 17:36:27.000;19.86
ECS_kWh_3_6;2021-03-22 17:36:27.000;15.43
ECS_kWh_3_6;2021-03-21 17:36:27.000;24.72
ECS_kWh_3_6;2021-03-20 17:36:27.000;15.68
ECS_kWh_3_6;2021-03-19 17:36:27.000;21.84
ECS_kWh_3_6;2021-03-18 17:36:27.000;24.54
ECS_kWh_3_6;2021-03-17 17:36:27.000;22.15
chauffage_kWh_3_6;2021-03-31 17:36:27.000;20.5
chauffage_kWh_3_6;2021-03-30 17:36:27.000;19.89
chauffage_kWh_3_6;2021-03-29 17:36:27.000;28.42
chauffage_kWh_3_6;2021-03-28 17:36:27.000;14.18
chauffage_kWh_3_6;2021-03-27 17:36:27.000;24.18
chauffage_kWh_3_6;2021-03-26 17:36:27.000;14.05
chauffage_kWh_3_6;2021-03-25 17:36:27.000;17.53
chauffage_kWh_3_6;2021-03-24 17:36:27.000;21.52
chauffage_kWh_3_6;2021-03-23 17:36:27.000;27.28
chauffage_kWh_3_6;2021-03-22 17:36:27.000;27.83
chauffage_kWh_3_6;2021-03-21 17:36:27.000;23.96
chauffage_kWh_3_6;2021-03-20 17:36:27.000;22.28
chauffage_kWh_3_6;2021-03-19 17:36:27.000;26.27
chauffage_kWh_3_6;2021-03-18 17:36:27.000;28.21
chauffage_kWh_3_6;2021-03-17 17:36:27.000;28.37
eau_froide_m3_3_6;2021-03-31 17:36:27.000;26.11
eau_froide_m3_3_6;2021-03-30 17:36:27.000;18.23
eau_froide_m3_3_6;2021-03-29 17:36:27.000;20.74
eau_froide_m3_3_6;2021-03-28 17:36:27.000;16.75
eau_froide_m3_3_6;2021-03-27 17:36:27.000;27.93
eau_froide_m3_3_6;2021-03-26 17:36:27.000;15.08
eau_froide_m3_3_6;2021-03-25 17:36:27.000;18.31
eau_froide_m3_3_6;2021-03-24 17:36:27.000;10.05
eau_froide_m3_3_6;2021-03-23 17:36:27.000;27.9
eau_froide_m3_3_6;2021-03-22 17:36:27.000;14.56
eau_froide_m3_3_6;2021-03-21 17:36:27.000;17.94
eau_froide_m3_3_6;2021-03-20 17:36:27.000;27.36
eau_froide_m3_3_6;2021-03-19 17:36:27.000;12.04
eau_froide_m3_3_6;2021-03-18 17:36:27.000;11.8
eau_froide_m3_3_6;2021-03-17 17:36:27.000;13.48
ECS_kWh_3_7;2021-03-31 17:36:27.000;27.47
ECS_kWh_3_7;2021-03-30 17:36:27.000;15.79
ECS_kWh_3_7;2021-03-29 17:36:27.000;28.29
ECS_kWh_3_7;2021-03-28 17:36:27.000;15.38
ECS_kWh_3_7;2021-03-27 17:36:27.000;12.24
ECS_kWh_3_7;2021-03-26 17:36:27.000;11.35
ECS_kWh_3_7;2021-03-25 17:36:27.000;25.19
ECS_kWh_3_7;2021-03-24 17:36:27.000;14.8
ECS_kWh_3_7;2021-03-23 17:36:27.000;27.79
ECS_kWh_3_7;2021-03-22 17:36:27.000;18.22
ECS_kWh_3_7;2021-03-21 17:36:27.000;23.9
ECS_kWh_3_7;2021-03-20 17:36:27.000;15.42
ECS_kWh_3_7;2021-03-19 17:36:27.000;18.67
ECS_kWh_3_7;2021-03-18 17:36:27.000;26.48
ECS_kWh_3_7;2021-03-17 17:36:27.000;17.63
chauffage_kWh_3_7;2021-03-31 17:36:27.000;17.95
chauffage_kWh_3_7;2021-03-30 17:36:27.000;22.35
chauffage_kWh_3_7;2021-03-29 17:36:27.000;10.12
chauffage_kWh_3_7;2021-03-28 17:36:27.000;12.41
chauffage_kWh_3_7;2021-03-27 17:36:27.000;27.68
chauffage_kWh_3_7;2021-03-26 17:36:27.000;20.85
chauffage_kWh_3_7;2021-03-25 17:36:27.000;27.96
chauffage_kWh_3_7;2021-03-24 17:36:27.000;19.56
chauffage_kWh_3_7;2021-03-23 17:36:27.000;19.71
chauffage_kWh_3_7;2021-03-22 17:36:27.000;25.11
chauffage_kWh_3_7;2021-03-21 17:36:27.000;14.34
chauffage_kWh_3_7;2021-03-20 17:36:27.000;26.36
chauffage_kWh_3_7;2021-03-19 17:36:27.000;10.22
chauffage_kWh_3_7;2021-03-18 17:36:27.000;20.93
chauffage_kWh_3_7;2021-03-17 17:36:27.000;14.49
eau_froide_m3_3_7;2021-03-31 17:36:27.000;26.37
eau_froide_m3_3_7;2021-03-30 17:36:27.000;15.65
eau_froide_m3_3_7;2021-03-29 17:36:27.000;15.41
eau_froide_m3_3_7;2021-03-28 17:36:27.000;22.21
eau_froide_m3_3_7;2021-03-27 17:36:27.000;15.72
eau_froide_m3_3_7;2021-03-26 17:36:27.000;15.34
eau_froide_m3_3_7;2021-03-25 17:36:27.000;27.02
eau_froide_m3_3_7;2021-03-24 17:36:27.000;29.81
eau_froide_m3_3_7;2021-03-23 17:36:27.000;14.6
eau_froide_m3_3_7;2021-03-22 17:36:27.000;18.39
eau_froide_m3_3_7;2021-03-21 17:36:27.000;21.41
eau_froide_m3_3_7;2021-03-20 17:36:27.000;26.2
eau_froide_m3_3_7;2021-03-19 17:36:27.000;28.93
eau_froide_m3_3_7;2021-03-18 17:36:27.000;14.94
eau_froide_m3_3_7;2021-03-17 17:36:27.000;19.76
ECS_kWh_3_9;2021-03-31 17:36:27.000;15.33
ECS_kWh_3_9;2021-03-30 17:36:27.000;18.93
ECS_kWh_3_9;2021-03-29 17:36:27.000;19.51
ECS_kWh_3_9;2021-03-28 17:36:27.000;16.08
ECS_kWh_3_9;2021-03-27 17:36:27.000;20.58
ECS_kWh_3_9;2021-03-26 17:36:27.000;26.89
ECS_kWh_3_9;2021-03-25 17:36:27.000;16.03
ECS_kWh_3_9;2021-03-24 17:36:27.000;20.11
ECS_kWh_3_9;2021-03-23 17:36:27.000;11.49
ECS_kWh_3_9;2021-03-22 17:36:27.000;24.85
ECS_kWh_3_9;2021-03-21 17:36:27.000;25.07
ECS_kWh_3_9;2021-03-20 17:36:27.000;21.27
ECS_kWh_3_9;2021-03-19 17:36:27.000;15.54
ECS_kWh_3_9;2021-03-18 17:36:27.000;17.65
ECS_kWh_3_9;2021-03-17 17:36:27.000;26.09
chauffage_kWh_3_9;2021-03-31 17:36:27.000;27.61
chauffage_kWh_3_9;2021-03-30 17:36:27.000;24.69
chauffage_kWh_3_9;2021-03-29 17:36:27.000;21.85
chauffage_kWh_3_9;2021-03-28 17:36:27.000;18.36
chauffage_kWh_3_9;2021-03-27 17:36:27.000;15.42
chauffage_kWh_3_9;2021-03-26 17:36:27.000;28.08
chauffage_kWh_3_9;2021-03-25 17:36:27.000;29.64
chauffage_kWh_3_9;2021-03-24 17:36:27.000;11.22
chauffage_kWh_3_9;2021-03-23 17:36:27.000;10.3
chauffage_kWh_3_9;2021-03-22 17:36:27.000;21.73
chauffage_kWh_3_9;2021-03-21 17:36:27.000;28.03
chauffage_kWh_3_9;2021-03-20 17:36:27.000;10.16
chauffage_kWh_3_9;2021-03-19 17:36:27.000;21.35
chauffage_kWh_3_9;2021-03-18 17:36:27.000;11.43
chauffage_kWh_3_9;2021-03-17 17:36:27.000;20.26
eau_froide_m3_3_9;2021-03-31 17:36:27.000;17.13
eau_froide_m3_3_9;2021-03-30 17:36:27.000;18.69
eau_froide_m3_3_9;2021-03-29 17:36:27.000;18.59
eau_froide_m3_3_9;2021-03-28 17:36:27.000;16.02
eau_froide_m3_3_9;2021-03-27 17:36:27.000;20.88
eau_froide_m3_3_9;2021-03-26 17:36:27.000;15.46
eau_froide_m3_3_9;2021-03-25 17:36:27.000;28.48
eau_froide_m3_3_9;2021-03-24 17:36:27.000;27.37
eau_froide_m3_3_9;2021-03-23 17:36:27.000;17.95
eau_froide_m3_3_9;2021-03-22 17:36:27.000;11.26
eau_froide_m3_3_9;2021-03-21 17:36:27.000;28.55
eau_froide_m3_3_9;2021-03-20 17:36:27.000;15.52
eau_froide_m3_3_9;2021-03-19 17:36:27.000;24.29
eau_froide_m3_3_9;2021-03-18 17:36:27.000;23.24
eau_froide_m3_3_9;2021-03-17 17:36:27.000;23.16
ECS_kWh_3_10;2021-03-31 17:36:27.000;18.55
ECS_kWh_3_10;2021-03-30 17:36:27.000;16.53
ECS_kWh_3_10;2021-03-29 17:36:27.000;28.73
ECS_kWh_3_10;2021-03-28 17:36:27.000;21.02
ECS_kWh_3_10;2021-03-27 17:36:27.000;21.23
ECS_kWh_3_10;2021-03-26 17:36:27.000;19.59
ECS_kWh_3_10;2021-03-25 17:36:27.000;23.79
ECS_kWh_3_10;2021-03-24 17:36:27.000;12.15
ECS_kWh_3_10;2021-03-23 17:36:27.000;14.55
ECS_kWh_3_10;2021-03-22 17:36:27.000;20.24
ECS_kWh_3_10;2021-03-21 17:36:27.000;13.68
ECS_kWh_3_10;2021-03-20 17:36:27.000;18.15
ECS_kWh_3_10;2021-03-19 17:36:27.000;12.14
ECS_kWh_3_10;2021-03-18 17:36:27.000;19.23
ECS_kWh_3_10;2021-03-17 17:36:27.000;14.81
chauffage_kWh_3_10;2021-03-31 17:36:27.000;29.27
chauffage_kWh_3_10;2021-03-30 17:36:27.000;15.07
chauffage_kWh_3_10;2021-03-29 17:36:27.000;19.01
chauffage_kWh_3_10;2021-03-28 17:36:27.000;20.34
chauffage_kWh_3_10;2021-03-27 17:36:27.000;29.05
chauffage_kWh_3_10;2021-03-26 17:36:27.000;17.51
chauffage_kWh_3_10;2021-03-25 17:36:27.000;28.03
chauffage_kWh_3_10;2021-03-24 17:36:27.000;15.32
chauffage_kWh_3_10;2021-03-23 17:36:27.000;28.61
chauffage_kWh_3_10;2021-03-22 17:36:27.000;16.9
chauffage_kWh_3_10;2021-03-21 17:36:27.000;29.66
chauffage_kWh_3_10;2021-03-20 17:36:27.000;24.86
chauffage_kWh_3_10;2021-03-19 17:36:27.000;25.66
chauffage_kWh_3_10;2021-03-18 17:36:27.000;13.8
chauffage_kWh_3_10;2021-03-17 17:36:27.000;20.07
eau_froide_m3_3_10;2021-03-31 17:36:27.000;16.29
eau_froide_m3_3_10;2021-03-30 17:36:27.000;29.31
eau_froide_m3_3_10;2021-03-29 17:36:27.000;21.23
eau_froide_m3_3_10;2021-03-28 17:36:27.000;15.88
eau_froide_m3_3_10;2021-03-27 17:36:27.000;10.53
eau_froide_m3_3_10;2021-03-26 17:36:27.000;20.43
eau_froide_m3_3_10;2021-03-25 17:36:27.000;16.99
eau_froide_m3_3_10;2021-03-24 17:36:27.000;22.13
eau_froide_m3_3_10;2021-03-23 17:36:27.000;21.25
eau_froide_m3_3_10;2021-03-22 17:36:27.000;26.02
eau_froide_m3_3_10;2021-03-21 17:36:27.000;18.18
eau_froide_m3_3_10;2021-03-20 17:36:27.000;12.57
eau_froide_m3_3_10;2021-03-19 17:36:27.000;12.85
eau_froide_m3_3_10;2021-03-18 17:36:27.000;22.52
eau_froide_m3_3_10;2021-03-17 17:36:27.000;10.88
ECS_kWh_3_12;2021-03-31 17:36:27.000;10.94
ECS_kWh_3_12;2021-03-30 17:36:27.000;12.5
ECS_kWh_3_12;2021-03-29 17:36:27.000;17.85
ECS_kWh_3_12;2021-03-28 17:36:27.000;13.89
ECS_kWh_3_12;2021-03-27 17:36:27.000;15.78
ECS_kWh_3_12;2021-03-26 17:36:27.000;29.18
ECS_kWh_3_12;2021-03-25 17:36:27.000;19.56
ECS_kWh_3_12;2021-03-24 17:36:27.000;27.66
ECS_kWh_3_12;2021-03-23 17:36:27.000;10.3
ECS_kWh_3_12;2021-03-22 17:36:27.000;23.48
ECS_kWh_3_12;2021-03-21 17:36:27.000;12.91
ECS_kWh_3_12;2021-03-20 17:36:27.000;27.81
ECS_kWh_3_12;2021-03-19 17:36:27.000;17.48
ECS_kWh_3_12;2021-03-18 17:36:27.000;12.71
ECS_kWh_3_12;2021-03-17 17:36:27.000;23.57
chauffage_kWh_3_12;2021-03-31 17:36:27.000;19.39
chauffage_kWh_3_12;2021-03-30 17:36:27.000;18.08
chauffage_kWh_3_12;2021-03-29 17:36:27.000;24.37
chauffage_kWh_3_12;2021-03-28 17:36:27.000;26.57
chauffage_kWh_3_12;2021-03-27 17:36:27.000;11.39
chauffage_kWh_3_12;2021-03-26 17:36:27.000;12.15
chauffage_kWh_3_12;2021-03-25 17:36:27.000;11.45
chauffage_kWh_3_12;2021-03-24 17:36:27.000;23.9
chauffage_kWh_3_12;2021-03-23 17:36:27.000;13.76
chauffage_kWh_3_12;2021-03-22 17:36:27.000;25.54
chauffage_kWh_3_12;2021-03-21 17:36:27.000;24.72
chauffage_kWh_3_12;2021-03-20 17:36:27.000;29.94
chauffage_kWh_3_12;2021-03-19 17:36:27.000;11.34
chauffage_kWh_3_12;2021-03-18 17:36:27.000;29.46
chauffage_kWh_3_12;2021-03-17 17:36:27.000;27.52
eau_froide_m3_3_12;2021-03-31 17:36:27.000;18.5
eau_froide_m3_3_12;2021-03-30 17:36:27.000;21.93
eau_froide_m3_3_12;2021-03-29 17:36:27.000;18.72
eau_froide_m3_3_12;2021-03-28 17:36:27.000;24.83
eau_froide_m3_3_12;2021-03-27 17:36:27.000;25.61
eau_froide_m3_3_12;2021-03-26 17:36:27.000;27.41
