tagName;ts;value_diff;tagValue;week
chauffage_kWh_3_2;2021-03-18 17:36:27;22.87;12048.9;12
chauffage_kWh_3_2;2021-03-19 17:36:27;17.39;12066.29;12
chauffage_kWh_3_2;2021-03-20 17:36:27;25.24;12091.53;12
chauffage_kWh_3_2;2021-03-21 17:36:27;21.39;12112.92;13
chauffage_kWh_3_2;2021-03-22 17:36:27;19.58;12132.5;13
chauffage_kWh_3_2;2021-03-23 17:36:27;13.37;12145.87;13
chauffage_kWh_3_2;2021-03-24 17:36:27;12.52;12158.39;13
chauffage_kWh_3_2;2021-03-25 17:36:27;21.54;12179.93;13
chauffage_kWh_3_2;2021-03-26 17:36:27;16.59;12196.52;13
chauffage_kWh_3_2;2021-03-27 17:36:27;22.07;12218.59;13
chauffage_kWh_3_2;2021-03-28 17:36:27;15.88;12234.47;14
chauffage_kWh_3_2;2021-03-29 17:36:27;23.51;12257.98;14
chauffage_kWh_3_2;2021-03-30 17:36:27;19.35;12277.33;14
chauffage_kWh_3_2;2021-03-31 17:36:27;18.75;12296.08;14
eau_froide_m3_3_2;2021-03-17 17:36:27;23.3;18397.3;12
eau_froide_m3_3_2;2021-03-18 17:36:27;19.32;18416.62;12
eau_froide_m3_3_2;2021-03-19 17:36:27;17.9;18434.52;12
eau_froide_m3_3_2;2021-03-20 17:36:27;25.7;18460.22;12
eau_froide_m3_3_2;2021-03-21 17:36:27;25.24;18485.46;13
eau_froide_m3_3_2;2021-03-22 17:36:27;29.11;18514.57;13
eau_froide_m3_3_2;2021-03-23 17:36:27;20.53;18535.1;13
eau_froide_m3_3_2;2021-03-24 17:36:27;10.12;18545.22;13
eau_froide_m3_3_2;2021-03-25 17:36:27;16.94;18562.16;13
eau_froide_m3_3_2;2021-03-26 17:36:27;28.16;18590.32;13
eau_froide_m3_3_2;2021-03-27 17:36:27;15.58;18605.9;13
eau_froide_m3_3_2;2021-03-28 17:36:27;29.9;18635.8;14
eau_froide_m3_3_2;2021-03-29 17:36:27;12.31;18648.11;14
eau_froide_m3_3_2;2021-03-30 17:36:27;23.79;18671.9;14
eau_froide_m3_3_2;2021-03-31 17:36:27;12.76;18684.66;14
ECS_kWh_3_3;2021-03-17 17:36:27;11.61;15011.61;12
ECS_kWh_3_3;2021-03-18 17:36:27;19.62;15031.23;12
ECS_kWh_3_3;2021-03-19 17:36:27;19.48;15050.71;12
ECS_kWh_3_3;2021-03-20 17:36:27;22.32;15073.03;12
ECS_kWh_3_3;2021-03-21 17:36:27;18.35;15091.38;13
ECS_kWh_3_3;2021-03-22 17:36:27;25.43;15116.81;13
ECS_kWh_3_3;2021-03-23 17:36:27;13.28;15130.09;13
ECS_kWh_3_3;2021-03-24 17:36:27;12.63;15142.72;13
ECS_kWh_3_3;2021-03-25 17:36:27;16.8;15159.52;13
ECS_kWh_3_3;2021-03-26 17:36:27;15.47;15174.99;13
ECS_kWh_3_3;2021-03-27 17:36:27;20.37;15195.36;13
ECS_kWh_3_3;2021-03-28 17:36:27;19.13;15214.49;14
ECS_kWh_3_3;2021-03-29 17:36:27;27.73;15242.22;14
ECS_kWh_3_3;2021-03-30 17:36:27;16.45;15258.67;14
ECS_kWh_3_3;2021-03-31 17:36:27;25.82;15284.49;14
chauffage_kWh_3_3;2021-03-17 17:36:27;26.59;12026.59;12
chauffage_kWh_3_3;2021-03-18 17:36:27;18.71;12045.3;12
chauffage_kWh_3_3;2021-03-19 17:36:27;27.99;12073.29;12
chauffage_kWh_3_3;2021-03-20 17:36:27;13.19;12086.48;12
chauffage_kWh_3_3;2021-03-21 17:36:27;29.11;12115.59;13
chauffage_kWh_3_3;2021-03-22 17:36:27;19.66;12135.25;13
chauffage_kWh_3_3;2021-03-23 17:36:27;10.11;12145.36;13
chauffage_kWh_3_3;2021-03-24 17:36:27;29.16;12174.52;13
chauffage_kWh_3_3;2021-03-25 17:36:27;19.84;12194.36;13
chauffage_kWh_3_3;2021-03-26 17:36:27;24.63;12218.99;13
chauffage_kWh_3_3;2021-03-27 17:36:27;25.51;12244.5;13
chauffage_kWh_3_3;2021-03-28 17:36:27;19.98;12264.48;14
chauffage_kWh_3_3;2021-03-29 17:36:27;10.12;12274.6;14
chauffage_kWh_3_3;2021-03-30 17:36:27;13.93;12288.53;14
chauffage_kWh_3_3;2021-03-31 17:36:27;24.56;12313.09;14
eau_froide_m3_3_3;2021-03-17 17:36:27;12.3;18386.3;12
eau_froide_m3_3_3;2021-03-18 17:36:27;29.28;18415.58;12
eau_froide_m3_3_3;2021-03-19 17:36:27;17.03;18432.61;12
eau_froide_m3_3_3;2021-03-20 17:36:27;28.06;18460.67;12
eau_froide_m3_3_3;2021-03-21 17:36:27;18.03;18478.7;13
eau_froide_m3_3_3;2021-03-22 17:36:27;20.15;18498.85;13
eau_froide_m3_3_3;2021-03-23 17:36:27;22.62;18521.47;13
eau_froide_m3_3_3;2021-03-24 17:36:27;22.86;18544.33;13
eau_froide_m3_3_3;2021-03-25 17:36:27;29.63;18573.96;13
eau_froide_m3_3_3;2021-03-26 17:36:27;15.63;18589.59;13
eau_froide_m3_3_3;2021-03-27 17:36:27;11.43;18601.02;13
eau_froide_m3_3_3;2021-03-28 17:36:27;13.55;18614.57;14
eau_froide_m3_3_3;2021-03-29 17:36:27;20.91;18635.48;14
eau_froide_m3_3_3;2021-03-30 17:36:27;28.59;18664.07;14
eau_froide_m3_3_3;2021-03-31 17:36:27;23.4;18687.47;14
ECS_kWh_3_4;2021-03-17 17:36:27;26.17;15026.17;12
ECS_kWh_3_4;2021-03-18 17:36:27;22.49;15048.66;12
ECS_kWh_3_4;2021-03-19 17:36:27;11.88;15060.54;12
ECS_kWh_3_4;2021-03-20 17:36:27;26.27;15086.81;12
ECS_kWh_3_4;2021-03-21 17:36:27;13.72;15100.53;13
ECS_kWh_3_4;2021-03-22 17:36:27;11.46;15111.99;13
ECS_kWh_3_4;2021-03-23 17:36:27;29.98;15141.97;13
ECS_kWh_3_4;2021-03-24 17:36:27;13.55;15155.52;13
ECS_kWh_3_4;2021-03-25 17:36:27;29.44;15184.96;13
ECS_kWh_3_4;2021-03-26 17:36:27;14.75;15199.71;13
ECS_kWh_3_4;2021-03-27 17:36:27;25.09;15224.8;13
ECS_kWh_3_4;2021-03-28 17:36:27;28.43;15253.23;14
ECS_kWh_3_4;2021-03-29 17:36:27;23.29;15276.52;14
ECS_kWh_3_4;2021-03-30 17:36:27;18.63;15295.15;14
ECS_kWh_3_4;2021-03-31 17:36:27;20.47;15315.62;14
chauffage_kWh_3_4;2021-03-17 17:36:27;19.15;12019.15;12
chauffage_kWh_3_4;2021-03-18 17:36:27;19.4;12038.55;12
chauffage_kWh_3_4;2021-03-19 17:36:27;17.61;12056.16;12
chauffage_kWh_3_4;2021-03-20 17:36:27;15.5;12071.66;12
chauffage_kWh_3_4;2021-03-21 17:36:27;23.25;12094.91;13
chauffage_kWh_3_4;2021-03-22 17:36:27;10.57;12105.48;13
chauffage_kWh_3_4;2021-03-23 17:36:27;12.67;12118.15;13
chauffage_kWh_3_4;2021-03-24 17:36:27;25.69;12143.84;13
chauffage_kWh_3_4;2021-03-25 17:36:27;24.32;12168.16;13
chauffage_kWh_3_4;2021-03-26 17:36:27;14.52;12182.68;13
chauffage_kWh_3_4;2021-03-27 17:36:27;29.76;12212.44;13
chauffage_kWh_3_4;2021-03-28 17:36:27;22.79;12235.23;14
chauffage_kWh_3_4;2021-03-29 17:36:27;14.87;12250.1;14
chauffage_kWh_3_4;2021-03-30 17:36:27;10.68;12260.78;14
chauffage_kWh_3_4;2021-03-31 17:36:27;13.17;12273.95;14
eau_froide_m3_3_4;2021-03-17 17:36:27;10.99;18384.99;12
eau_froide_m3_3_4;2021-03-18 17:36:27;14.76;18399.75;12
eau_froide_m3_3_4;2021-03-19 17:36:27;27.94;18427.69;12
eau_froide_m3_3_4;2021-03-20 17:36:27;26.49;18454.18;12
eau_froide_m3_3_4;2021-03-21 17:36:27;10.14;18464.32;13
eau_froide_m3_3_4;2021-03-22 17:36:27;19.32;18483.64;13
eau_froide_m3_3_4;2021-03-23 17:36:27;13.89;18497.53;13
eau_froide_m3_3_4;2021-03-24 17:36:27;28.12;18525.65;13
eau_froide_m3_3_4;2021-03-25 17:36:27;19;18544.65;13
eau_froide_m3_3_4;2021-03-26 17:36:27;15.22;18559.87;13
eau_froide_m3_3_4;2021-03-27 17:36:27;27.26;18587.13;13
eau_froide_m3_3_4;2021-03-28 17:36:27;20.82;18607.95;14
eau_froide_m3_3_4;2021-03-29 17:36:27;10.46;18618.41;14
eau_froide_m3_3_4;2021-03-30 17:36:27;13.29;18631.7;14
eau_froide_m3_3_4;2021-03-31 17:36:27;21.14;18652.84;14
ECS_kWh_3_5;2021-03-17 17:36:27;12.29;15012.29;12
ECS_kWh_3_5;2021-03-18 17:36:27;14.13;15026.42;12
ECS_kWh_3_5;2021-03-19 17:36:27;22.24;15048.66;12
ECS_kWh_3_5;2021-03-20 17:36:27;15.01;15063.67;12
ECS_kWh_3_5;2021-03-21 17:36:27;26.24;15089.91;13
ECS_kWh_3_5;2021-03-22 17:36:27;25.56;15115.47;13
ECS_kWh_3_5;2021-03-23 17:36:27;12.29;15127.76;13
ECS_kWh_3_5;2021-03-24 17:36:27;25.67;15153.43;13
ECS_kWh_3_5;2021-03-25 17:36:27;24.21;15177.64;13
ECS_kWh_3_5;2021-03-26 17:36:27;23.8;15201.44;13
ECS_kWh_3_5;2021-03-27 17:36:27;18.5;15219.94;13
ECS_kWh_3_5;2021-03-28 17:36:27;22.37;15242.31;14
ECS_kWh_3_5;2021-03-29 17:36:27;24.55;15266.86;14
ECS_kWh_3_5;2021-03-30 17:36:27;20.29;15287.15;14
ECS_kWh_3_5;2021-03-31 17:36:27;18.32;15305.47;14
chauffage_kWh_3_5;2021-03-17 17:36:27;27.34;12027.34;12
chauffage_kWh_3_5;2021-03-18 17:36:27;25.83;12053.17;12
chauffage_kWh_3_5;2021-03-19 17:36:27;28.06;12081.23;12
chauffage_kWh_3_5;2021-03-20 17:36:27;13.26;12094.49;12
chauffage_kWh_3_5;2021-03-21 17:36:27;19.63;12114.12;13
chauffage_kWh_3_5;2021-03-22 17:36:27;29.13;12143.25;13
chauffage_kWh_3_5;2021-03-23 17:36:27;17.06;12160.31;13
chauffage_kWh_3_5;2021-03-24 17:36:27;21.36;12181.67;13
chauffage_kWh_3_5;2021-03-25 17:36:27;25.25;12206.92;13
chauffage_kWh_3_5;2021-03-26 17:36:27;17.61;12224.53;13
chauffage_kWh_3_5;2021-03-27 17:36:27;17.91;12242.44;13
chauffage_kWh_3_5;2021-03-28 17:36:27;11.28;12253.72;14
chauffage_kWh_3_5;2021-03-29 17:36:27;27.59;12281.31;14
chauffage_kWh_3_5;2021-03-30 17:36:27;12.83;12294.14;14
chauffage_kWh_3_5;2021-03-31 17:36:27;10.89;12305.03;14
eau_froide_m3_3_5;2021-03-17 17:36:27;10.28;18384.28;12
eau_froide_m3_3_5;2021-03-18 17:36:27;10.65;18394.93;12
eau_froide_m3_3_5;2021-03-19 17:36:27;24.88;18419.81;12
eau_froide_m3_3_5;2021-03-20 17:36:27;21.22;18441.03;12
eau_froide_m3_3_5;2021-03-21 17:36:27;15.15;18456.18;13
eau_froide_m3_3_5;2021-03-22 17:36:27;23.6;18479.78;13
eau_froide_m3_3_5;2021-03-23 17:36:27;27.17;18506.95;13
eau_froide_m3_3_5;2021-03-24 17:36:27;29.69;18536.64;13
eau_froide_m3_3_5;2021-03-25 17:36:27;29.19;18565.83;13
eau_froide_m3_3_5;2021-03-26 17:36:27;11.78;18577.61;13
eau_froide_m3_3_5;2021-03-27 17:36:27;12.04;18589.65;13
eau_froide_m3_3_5;2021-03-28 17:36:27;24.64;18614.29;14
eau_froide_m3_3_5;2021-03-29 17:36:27;12.22;18626.51;14
eau_froide_m3_3_5;2021-03-30 17:36:27;13.3;18639.81;14
eau_froide_m3_3_5;2021-03-31 17:36:27;27.64;18667.45;14
ECS_kWh_3_6;2021-03-17 17:36:27;28.39;15028.39;12
ECS_kWh_3_6;2021-03-18 17:36:27;14.91;15043.3;12
ECS_kWh_3_6;2021-03-19 17:36:27;22.12;15065.42;12
ECS_kWh_3_6;2021-03-20 17:36:27;19.89;15085.31;12
ECS_kWh_3_6;2021-03-21 17:36:27;20.86;15106.17;13
ECS_kWh_3_6;2021-03-22 17:36:27;14.62;15120.79;13
ECS_kWh_3_6;2021-03-23 17:36:27;15.04;15135.83;13
ECS_kWh_3_6;2021-03-24 17:36:27;27.37;15163.2;13
ECS_kWh_3_6;2021-03-25 17:36:27;19.86;15183.06;13
ECS_kWh_3_6;2021-03-26 17:36:27;15.43;15198.49;13
ECS_kWh_3_6;2021-03-27 17:36:27;24.72;15223.21;13
ECS_kWh_3_6;2021-03-28 17:36:27;15.68;15238.89;14
ECS_kWh_3_6;2021-03-29 17:36:27;21.84;15260.73;14
ECS_kWh_3_6;2021-03-30 17:36:27;24.54;15285.27;14
ECS_kWh_3_6;2021-03-31 17:36:27;22.15;15307.42;14
chauffage_kWh_3_6;2021-03-17 17:36:27;20.5;12020.5;12
chauffage_kWh_3_6;2021-03-18 17:36:27;19.89;12040.39;12
chauffage_kWh_3_6;2021-03-19 17:36:27;28.42;12068.81;12
chauffage_kWh_3_6;2021-03-20 17:36:27;14.18;12082.99;12
chauffage_kWh_3_6;2021-03-21 17:36:27;24.18;12107.17;13
chauffage_kWh_3_6;2021-03-22 17:36:27;14.05;12121.22;13
chauffage_kWh_3_6;2021-03-23 17:36:27;17.53;12138.75;13
chauffage_kWh_3_6;2021-03-24 17:36:27;21.52;12160.27;13
chauffage_kWh_3_6;2021-03-25 17:36:27;27.28;12187.55;13
chauffage_kWh_3_6;2021-03-26 17:36:27;27.83;12215.38;13
chauffage_kWh_3_6;2021-03-27 17:36:27;23.96;12239.34;13
chauffage_kWh_3_6;2021-03-28 17:36:27;22.28;12261.62;14
chauffage_kWh_3_6;2021-03-29 17:36:27;26.27;12287.89;14
chauffage_kWh_3_6;2021-03-30 17:36:27;28.21;12316.1;14
chauffage_kWh_3_6;2021-03-31 17:36:27;28.37;12344.47;14
eau_froide_m3_3_6;2021-03-17 17:36:27;26.11;18400.11;12
eau_froide_m3_3_6;2021-03-18 17:36:27;18.23;18418.34;12
eau_froide_m3_3_6;2021-03-19 17:36:27;20.74;18439.08;12
eau_froide_m3_3_6;2021-03-20 17:36:27;16.75;18455.83;12
eau_froide_m3_3_6;2021-03-21 17:36:27;27.93;18483.76;13
eau_froide_m3_3_6;2021-03-22 17:36:27;15.08;18498.84;13
eau_froide_m3_3_6;2021-03-23 17:36:27;18.31;18517.15;13
eau_froide_m3_3_6;2021-03-24 17:36:27;10.05;18527.2;13
eau_froide_m3_3_6;2021-03-25 17:36:27;27.9;18555.1;13
eau_froide_m3_3_6;2021-03-26 17:36:27;14.56;18569.66;13
eau_froide_m3_3_6;2021-03-27 17:36:27;17.94;18587.6;13
eau_froide_m3_3_6;2021-03-28 17:36:27;27.36;18614.96;14
eau_froide_m3_3_6;2021-03-29 17:36:27;12.04;18627;14
eau_froide_m3_3_6;2021-03-30 17:36:27;11.8;18638.8;14
eau_froide_m3_3_6;2021-03-31 17:36:27;13.48;18652.28;14
ECS_kWh_3_7;2021-03-17 17:36:27;27.47;15027.47;12
ECS_kWh_3_7;2021-03-18 17:36:27;15.79;15043.26;12
ECS_kWh_3_7;2021-03-19 17:36:27;28.29;15071.55;12
ECS_kWh_3_7;2021-03-20 17:36:27;15.38;15086.93;12
ECS_kWh_3_7;2021-03-21 17:36:27;12.24;15099.17;13
ECS_kWh_3_7;2021-03-22 17:36:27;11.35;15110.52;13
ECS_kWh_3_7;2021-03-23 17:36:27;25.19;15135.71;13
ECS_kWh_3_7;2021-03-24 17:36:27;14.8;15150.51;13
ECS_kWh_3_7;2021-03-25 17:36:27;27.79;15178.3;13
ECS_kWh_3_7;2021-03-26 17:36:27;18.22;15196.52;13
ECS_kWh_3_7;2021-03-27 17:36:27;23.9;15220.42;13
ECS_kWh_3_7;2021-03-28 17:36:27;15.42;15235.84;14
ECS_kWh_3_7;2021-03-29 17:36:27;18.67;15254.51;14
ECS_kWh_3_7;2021-03-30 17:36:27;26.48;15280.99;14
ECS_kWh_3_7;2021-03-31 17:36:27;17.63;15298.62;14
chauffage_kWh_3_7;2021-03-17 17:36:27;17.95;12017.95;12
chauffage_kWh_3_7;2021-03-18 17:36:27;22.35;12040.3;12
chauffage_kWh_3_7;2021-03-19 17:36:27;10.12;12050.42;12
chauffage_kWh_3_7;2021-03-20 17:36:27;12.41;12062.83;12
chauffage_kWh_3_7;2021-03-21 17:36:27;27.68;12090.51;13
chauffage_kWh_3_7;2021-03-22 17:36:27;20.85;12111.36;13
chauffage_kWh_3_7;2021-03-23 17:36:27;27.96;12139.32;13
chauffage_kWh_3_7;2021-03-24 17:36:27;19.56;12158.88;13
chauffage_kWh_3_7;2021-03-25 17:36:27;19.71;12178.59;13
chauffage_kWh_3_7;2021-03-26 17:36:27;25.11;12203.7;13
chauffage_kWh_3_7;2021-03-27 17:36:27;14.34;12218.04;13
chauffage_kWh_3_7;2021-03-28 17:36:27;26.36;12244.4;14
chauffage_kWh_3_7;2021-03-29 17:36:27;10.22;12254.62;14
chauffage_kWh_3_7;2021-03-30 17:36:27;20.93;12275.55;14
chauffage_kWh_3_7;2021-03-31 17:36:27;14.49;12290.04;14
eau_froide_m3_3_7;2021-03-17 17:36:27;26.37;18400.37;12
eau_froide_m3_3_7;2021-03-18 17:36:27;15.65;18416.02;12
eau_froide_m3_3_7;2021-03-19 17:36:27;15.41;18431.43;12
eau_froide_m3_3_7;2021-03-20 17:36:27;22.21;18453.64;12
eau_froide_m3_3_7;2021-03-21 17:36:27;15.72;18469.36;13
eau_froide_m3_3_7;2021-03-22 17:36:27;15.34;18484.7;13
eau_froide_m3_3_7;2021-03-23 17:36:27;27.02;18511.72;13
eau_froide_m3_3_7;2021-03-24 17:36:27;29.81;18541.53;13
eau_froide_m3_3_7;2021-03-25 17:36:27;14.6;18556.13;13
eau_froide_m3_3_7;2021-03-26 17:36:27;18.39;18574.52;13
eau_froide_m3_3_7;2021-03-27 17:36:27;21.41;18595.93;13
eau_froide_m3_3_7;2021-03-28 17:36:27;26.2;18622.13;14
eau_froide_m3_3_7;2021-03-29 17:36:27;28.93;18651.06;14
eau_froide_m3_3_7;2021-03-30 17:36:27;14.94;18666;14
eau_froide_m3_3_7;2021-03-31 17:36:27;19.76;18685.76;14
ECS_kWh_3_9;2021-03-17 17:36:27;15.33;15015.33;12
ECS_kWh_3_9;2021-03-18 17:36:27;18.93;15034.26;12
ECS_kWh_3_9;2021-03-19 17:36:27;19.51;15053.77;12
ECS_kWh_3_9;2021-03-20 17:36:27;16.08;15069.85;12
ECS_kWh_3_9;2021-03-21 17:36:27;20.58;15090.43;13
ECS_kWh_3_9;2021-03-22 17:36:27;26.89;15117.32;13
ECS_kWh_3_9;2021-03-23 17:36:27;16.03;15133.35;13
ECS_kWh_3_9;2021-03-24 17:36:27;20.11;15153.46;13
ECS_kWh_3_9;2021-03-25 17:36:27;11.49;15164.95;13
ECS_kWh_3_9;2021-03-26 17:36:27;24.85;15189.8;13
ECS_kWh_3_9;2021-03-27 17:36:27;25.07;15214.87;13
ECS_kWh_3_9;2021-03-28 17:36:27;21.27;15236.14;14
ECS_kWh_3_9;2021-03-29 17:36:27;15.54;15251.68;14
ECS_kWh_3_9;2021-03-30 17:36:27;17.65;15269.33;14
ECS_kWh_3_9;2021-03-31 17:36:27;26.09;15295.42;14
chauffage_kWh_3_9;2021-03-17 17:36:27;27.61;12027.61;12
chauffage_kWh_3_9;2021-03-18 17:36:27;24.69;12052.3;12
chauffage_kWh_3_9;2021-03-19 17:36:27;21.85;12074.15;12
chauffage_kWh_3_9;2021-03-20 17:36:27;18.36;12092.51;12
chauffage_kWh_3_9;2021-03-21 17:36:27;15.42;12107.93;13
chauffage_kWh_3_9;2021-03-22 17:36:27;28.08;12136.01;13
chauffage_kWh_3_9;2021-03-23 17:36:27;29.64;12165.65;13
chauffage_kWh_3_9;2021-03-24 17:36:27;11.22;12176.87;13
chauffage_kWh_3_9;2021-03-25 17:36:27;10.3;12187.17;13
chauffage_kWh_3_9;2021-03-26 17:36:27;21.73;12208.9;13
chauffage_kWh_3_9;2021-03-27 17:36:27;28.03;12236.93;13
chauffage_kWh_3_9;2021-03-28 17:36:27;10.16;12247.09;14
chauffage_kWh_3_9;2021-03-29 17:36:27;21.35;12268.44;14
chauffage_kWh_3_9;2021-03-30 17:36:27;11.43;12279.87;14
chauffage_kWh_3_9;2021-03-31 17:36:27;20.26;12300.13;14
eau_froide_m3_3_9;2021-03-17 17:36:27;17.13;18391.13;12
eau_froide_m3_3_9;2021-03-18 17:36:27;18.69;18409.82;12
eau_froide_m3_3_9;2021-03-19 17:36:27;18.59;18428.41;12
eau_froide_m3_3_9;2021-03-20 17:36:27;16.02;18444.43;12
eau_froide_m3_3_9;2021-03-21 17:36:27;20.88;18465.31;13
eau_froide_m3_3_9;2021-03-22 17:36:27;15.46;18480.77;13
eau_froide_m3_3_9;2021-03-23 17:36:27;28.48;18509.25;13
eau_froide_m3_3_9;2021-03-24 17:36:27;27.37;18536.62;13
eau_froide_m3_3_9;2021-03-25 17:36:27;17.95;18554.57;13
eau_froide_m3_3_9;2021-03-26 17:36:27;11.26;18565.83;13
eau_froide_m3_3_9;2021-03-27 17:36:27;28.55;18594.38;13
eau_froide_m3_3_9;2021-03-28 17:36:27;15.52;18609.9;14
eau_froide_m3_3_9;2021-03-29 17:36:27;24.29;18634.19;14
eau_froide_m3_3_9;2021-03-30 17:36:27;23.24;18657.43;14
eau_froide_m3_3_9;2021-03-31 17:36:27;23.16;18680.59;14
ECS_kWh_3_10;2021-03-17 17:36:27;18.55;15018.55;12
ECS_kWh_3_10;2021-03-18 17:36:27;16.53;15035.08;12
ECS_kWh_3_10;2021-03-19 17:36:27;28.73;15063.81;12
ECS_kWh_3_10;2021-03-20 17:36:27;21.02;15084.83;12
ECS_kWh_3_10;2021-03-21 17:36:27;21.23;15106.06;13
ECS_kWh_3_10;2021-03-22 17:36:27;19.59;15125.65;13
ECS_kWh_3_10;2021-03-23 17:36:27;23.79;15149.44;13
ECS_kWh_3_10;2021-03-24 17:36:27;12.15;15161.59;13
ECS_kWh_3_10;2021-03-25 17:36:27;14.55;15176.14;13
ECS_kWh_3_10;2021-03-26 17:36:27;20.24;15196.38;13
ECS_kWh_3_10;2021-03-27 17:36:27;13.68;15210.06;13
ECS_kWh_3_10;2021-03-28 17:36:27;18.15;15228.21;14
ECS_kWh_3_10;2021-03-29 17:36:27;12.14;15240.35;14
ECS_kWh_3_10;2021-03-30 17:36:27;19.23;15259.58;14
ECS_kWh_3_10;2021-03-31 17:36:27;14.81;15274.39;14
chauffage_kWh_3_10;2021-03-17 17:36:27;29.27;12029.27;12
chauffage_kWh_3_10;2021-03-18 17:36:27;15.07;12044.34;12
chauffage_kWh_3_10;2021-03-19 17:36:27;19.01;12063.35;12
chauffage_kWh_3_10;2021-03-20 17:36:27;20.34;12083.69;12
chauffage_kWh_3_10;2021-03-21 17:36:27;29.05;12112.74;13
chauffage_kWh_3_10;2021-03-22 17:36:27;17.51;12130.25;13
